"WORD","HITS"
"acción","1"
"aceite","1"
"acerca","1"
"acompañan","1"
"acuarela","1"
"adornado","1"
"agarrarlo","1"
"agua","1"
"agüita","1"
"ahí","1"
"alas","1"
"alimenta","1"
"alimentan","1"
"alrededor","1"
"alta","1"
"alto","1"
"amanecer","1"
"amarrado","1"
"américa","1"
"anda","1"
"angelical","1"
"aragüita","1"
"araña","1"
"arañas","1"
"ariz","1"
"arrancando","1"
"asociación","1"
"así","1"
"atención","1"
"atentamente","1"
"atora","1"
"automóvil","1"
"ave","1"
"aves","1"
"ayer","1"
"ayudan","1"
"azul","1"
"año","1"
"bebé","1"
"bién","1"
"boca","1"
"botando","1"
"buena","1"
"cama","1"
"canasto","1"
"canela","1"
"canta","1"
"caramelo","1"
"carcajadas","1"
"carpa","1"
"carreta","1"
"carrusel","1"
"casillas","1"
"castillo","1"
"caza","1"
"ce","1"
"cebolla","1"
"cecilia","1"
"cecina","1"
"ceite","1"
"ceniza","1"
"centavo","1"
"cerezas","1"
"chile","1"
"ci","1"
"cidos","1"
"cigüeña","1"
"cinco","1"
"cinta","1"
"circo","1"
"ciruela","1"
"cisne","1"
"cisnes","1"
"ciudad","1"
"cocina","1"
"colocan","1"
"comentan","1"
"comer","1"
"comienza","1"
"comienzan","1"
"compañan","1"
"compleja","1"
"completa","1"
"completarlas","1"
"compositores","1"
"comprobación","1"
"conejo","1"
"conrado","1"
"consonante","1"
"contaminen","1"
"contesta","1"
"conversar","1"
"copa","1"
"coquimbo","1"
"corre","1"
"correctamente","1"
"correr","1"
"correspondiente","1"
"corriendo","1"
"cortar","1"
"cosecha","1"
"cremilla","1"
"cremillas","1"
"cu","1"
"cuarenta","1"
"cuenta","1"
"cuento","1"
"cuidado","1"
"culebra","1"
"cuna","1"
"cuneta","1"
"cuñado","1"
"césped","1"
"da","1"
"dando","1"
"darle","1"
"debes","1"
"deciden","1"
"depende","1"
"desagüe","1"
"desarrollarte","1"
"desechos","1"
"después","1"
"despúes","1"
"diariamente","1"
"dibujo","1"
"dibujos","1"
"dice","1"
"dijo","1"
"diminutivo","1"
"dio","1"
"diéresis","1"
"doble","1"
"doña","1"
"ej","1"
"elige","1"
"ella","1"
"enagüita","1"
"encontrarás","1"
"encuentra","1"
"engüita","1"
"enojada","1"
"enredadera","1"
"enredado","1"
"enrique","1"
"enriqueta","1"
"erre","1"
"ersiguió","1"
"escobillan","1"
"escondite","1"
"escribe","1"
"escriben","1"
"escribir","1"
"escrita","1"
"escritas","1"
"escuchan","1"
"especie","1"
"específicas","1"
"estanque","1"
"estas","1"
"este","1"
"esto","1"
"estos","1"
"está","1"
"están","1"
"falta","1"
"familia","1"
"familias","1"
"farol","1"
"fe","1"
"felices","1"
"felicita","1"
"felicitaciones","1"
"felino","1"
"ferrocarril","1"
"final","1"
"finalizar","1"
"foca","1"
"fuerte","1"
"fuerza","1"
"ga","1"
"galleta","1"
"gallina","1"
"gallo","1"
"garrarlo","1"
"gato","1"
"ge","1"
"gelatina","1"
"gemelos","1"
"general","1"
"genero","1"
"genial","1"
"gente","1"
"gi","1"
"gilbraltar","1"
"ginebra","1"
"gitana","1"
"gitano","1"
"glotón","1"
"goma","1"
"gordo","1"
"gorro","1"
"gotera","1"
"grabados","1"
"grandioso","1"
"gu","1"
"gua","1"
"guagua","1"
"guante","1"
"gue","1"
"gui","1"
"guindas","1"
"guitarra","1"
"guiña","1"
"gusano","1"
"gusta","1"
"gustan","1"
"gusto","1"
"güe","1"
"güi","1"
"güita","1"
"hacia","1"
"hamburguesa","1"
"hay","1"
"haz","1"
"hecho","1"
"helado","1"
"henríquez","1"
"hermanas","1"
"hermosas","1"
"hermoso","1"
"hicieron","1"
"hija","1"
"hizo","1"
"hoguera","1"
"honrado","1"
"hoy","1"
"huecos","1"
"humana","1"
"humo","1"
"iguales","1"
"imágenes","1"
"incompletas","1"
"información","1"
"ingüino","1"
"inicial","1"
"inutilmente","1"
"invergüenza","1"
"jaleas","1"
"juego","1"
"juntos","1"
"lado","1"
"lados","1"
"largos","1"
"latina","1"
"le","1"
"lección","1"
"lee","1"
"leer","1"
"lengüita","1"
"letra","1"
"licita","1"
"limpian","1"
"linda","1"
"literal","1"
"llama","1"
"llaman","1"
"llegar","1"
"llegó","1"
"llenar","1"
"lleva","1"
"llevan","1"
"llueve","1"
"loma","1"
"lorito","1"
"loro","1"
"lápices","1"
"léelo","1"
"madera","1"
"mamá","1"
"man","1"
"manchadas","1"
"manejar","1"
"manguera","1"
"marino","1"
"mario","1"
"mariposa","1"
"maría","1"
"mayor","1"
"medio","1"
"mejor","1"
"mensaje","1"
"minerales","1"
"mira","1"
"miran","1"
"miriam","1"
"morsa","1"
"moscas","1"
"mucha","1"
"más","1"
"nadaban","1"
"nadie","1"
"nagüita","1"
"nariz","1"
"niños","1"
"nombre","1"
"nombres","1"
"ocho","1"
"ojo","1"
"olvides","1"
"oraciones","1"
"ordena","1"
"ortografía","1"
"ortográfica","1"
"otra","1"
"palabra","1"
"palabras","1"
"paloma","1"
"pantalla","1"
"paraguas","1"
"paragüero","1"
"paragüita","1"
"parar","1"
"pasa","1"
"pasaba","1"
"pasaste","1"
"pasó","1"
"patas","1"
"patición","1"
"país","1"
"pecie","1"
"pedir","1"
"pequeño","1"
"pera","1"
"perfecto","1"
"perrito","1"
"perro","1"
"persiguió","1"
"pico","1"
"piden","1"
"piensa","1"
"pingüino","1"
"piringüin","1"
"polillas","1"
"pone","1"
"ponen","1"
"postre","1"
"preguntas","1"
"profesora","1"
"pudo","1"
"puerta","1"
"puzzle","1"
"quedan","1"
"quieras","1"
"quiere","1"
"qué","1"
"ra","1"
"ramo","1"
"ranura","1"
"rara","1"
"rato","1"
"ratón","1"
"realmente","1"
"rebeca","1"
"recelo","1"
"rechaza","1"
"regadera","1"
"regalo","1"
"regar","1"
"regla","1"
"reloj","1"
"remolino","1"
"reno","1"
"repolllo","1"
"repollo","1"
"resiste","1"
"respuesta","1"
"resto","1"
"resuelve","1"
"risa","1"
"riéndose","1"
"robó","1"
"rojo","1"
"rompecabezas","1"
"rota","1"
"rro","1"
"rábanos","1"
"ríen","1"
"río","1"
"sale","1"
"salen","1"
"saltar","1"
"satisfactoriamente","1"
"scuchan","1"
"se","1"
"siento","1"
"siete","1"
"siguiente","1"
"similares","1"
"sinvergüenza","1"
"situación","1"
"sola","1"
"sonido","1"
"sonidos","1"
"sonrisa","1"
"sonrojo","1"
"sopa","1"
"suave","1"
"sucede","1"
"sucio","1"
"suelo","1"
"suerte","1"
"sílaba","1"
"tan","1"
"tarra","1"
"tejer","1"
"tela","1"
"telas","1"
"tenían","1"
"terminado","1"
"tetera","1"
"texto","1"
"tijera","1"
"tipo","1"
"toca","1"
"toda","1"
"todas","1"
"todos","1"
"toma","1"
"tomar","1"
"tomates","1"
"torre","1"
"torrejas","1"
"torta","1"
"tose","1"
"turrón","1"
"tus","1"
"ucio","1"
"une","1"
"ve","1"
"vegetariana","1"
"velozmente","1"
"ver","1"
"vergüenza","1"
"vestidos","1"
"vida","1"
"visitó","1"
"vitaminas","1"
"vocales","1"
"volando","1"
"voz","1"
"vueltas","1"
"zanahorias","1"
"¿con","1"
"¿cómo","1"
"¿dónde","1"
"¿que","1"
"¿quiénes","1"
"¿qué","1"
"ácidos","1"
"án","1"
"ángel","1"
"él","1"
"ésta","1"
"ña","1"
"únelas","1"
